Country,Country_Code,FEC_Impl_Gap_Pct,GHG_Impl_Gap_Pct,RES_Impl_Gap_Pct,FEC_Households,FEC_Industry,FEC_Services,FEC_Transport,GHG_Agriculture,GHG_Buildings,GHG_Fuel_Exploitation,GHG_Industrial_Combustion,GHG_Power_Industry,GHG_Processes,GHG_Transport,GHG_Waste,RES_Electricity,RES_HeatingCooling,RES_Transport,Composite_Gap,GDP_per_capita,Population_mean
Austria,AT,0.7568076041584736,0.9371524515339223,-0.3497506950568459,-0.17043808333331098,-0.11021964028210085,-0.31916293832222,-0.149463181817268,-0.4115004129823462,-0.3281014193424464,-0.10495562969246135,-0.14576284993633978,-0.37070780614029375,-0.3017259047015081,-0.15297300351066967,-0.5566711007790734,2.296851926880145,0.3069536688624382,0.624646770828837,-0.5907306649285415,0.524396144222329,-0.35269365205402786
Belgium,BE,0.20749065658808466,0.5324480996713605,1.279551516581134,-0.10344157498346639,0.15361538380301124,-0.03816622388222535,-0.11234317987334429,-0.30113692622409005,0.15946223774403992,0.22076223007853213,0.15334913709384554,-0.3132471903241517,0.3215885755558228,-0.11546153742432363,-0.39474318555172394,-0.649027795651652,-1.3003409583918115,0.007136630667752777,-0.31503058895040753,0.38211721472265,-0.23188286773807193
Bulgaria,BG,-0.00972868794826985,-0.9068959385238178,0.6901819469019466,-0.5295854552599086,-0.5135965814820055,-0.5112888915701393,-0.5000554760875006,-0.48296505608189927,-0.5681969626258397,-0.5414581942447617,-0.47828167453803805,-0.19174789207808887,-0.42893058940950946,-0.5013206923691481,-0.05711557706334913,-0.5961219974907906,0.1311008310814407,-0.1508572876166927,0.7938681498224743,-1.655161486025112,-0.4477036554179449
Croatia,HR,-0.6295445676759464,0.3052710442919092,0.8080508727325859,-0.5204270893373814,-0.6461427210058771,-0.5700632839346043,-0.5808302908602435,-0.6586582451799303,-0.5233794675941129,-0.6909924128742115,-0.5739324783781724,-0.5372178907894882,-0.5274323550802114,-0.5724553298830077,-0.5707338378699301,0.9130981291093136,0.43619870906058567,-1.1270867813008223,0.9156505059642133,-0.7408633558622776,-0.5731947221660699
Cyprus,CY,-1.1323244231252667,1.8488377387743031,0.11045189051804978,-0.6721150479119015,-0.7234028329831586,-0.6493561624391547,-0.6896337916546932,-0.7816263132688656,-0.6113285838920651,-0.8370348843694138,-0.6631900972130059,-0.5380785958860673,-0.7521355587298284,-0.6876544580180358,-0.7791734134281533,-1.144970448709905,0.20601747833264178,-0.8011227150928288,-1.6555512717385905,-0.25098617092622655,-0.7167206554262363
Czechia,CZ,0.5193784635942711,-0.5185842387403686,0.8604509178384203,-0.16615368002872455,-0.18839006838390426,-0.24545758225120792,-0.265268673906605,-0.3627069240994624,-0.2156090441631806,0.03290695147342977,-0.09020032070574668,0.3028053960861729,-0.12604139415564108,-0.2656566018884093,0.00487613021890864,-1.02306948111819,-0.4559383065190773,-0.29828379228342294,0.21693927193692528,-0.2083400611342032,-0.27001915695839224
Denmark,DK,-0.6803248402375164,-0.34031618491548765,-0.38712407325346354,-0.36733348283279127,-0.551429370602811,-0.4016624419340846,-0.43293153295865117,-0.23892630986481747,-0.47604191802525203,-0.5895687161221927,-0.5055950627678875,-0.4307529112079399,-0.6977123569764418,-0.43819220828389854,-0.7018414591209271,1.6156100300110723,1.0129850613850886,0.0875746007578457,1.0886766550296918,0.619706511082226,-0.4921996201660121
Estonia,EE,-0.07565588045742662,-2.0325523345482615,-1.9569930114563159,-0.6265336322741917,-0.7033021208899073,-0.6182842382801231,-0.6779771228536207,-0.6794600514410787,-0.6004298333237327,-0.31138633525801296,-0.6637662618772554,-0.44259373496096893,-0.8055668723489415,-0.6756465409126822,-0.6700451691338631,-0.5661648188691313,1.599197361463347,-0.6845301498106567,0.7891079826120376,-0.45925953499003097,-0.6967787035048785
Finland,FI,0.48770654764429866,0.3451374634060867,0.058376072250090776,-0.2827921204994232,0.13970309271328735,-0.25155222090149953,-0.44617836315651277,-0.46574193648113543,-0.4782426010781316,-0.4584809944128864,-0.32274608140096994,-0.30880010992467133,-0.46013838685437947,-0.4638202113404818,-0.0474231885660755,0.31171489447740836,1.595848669498198,2.0848157745060725,0.3137349852480808,0.16161299045581184,-0.5045177456168339
France,FR,1.538039685694556,0.42304285870572383,0.614437569469096,2.400001692382649,1.5935411672330297,2.3083505603991266,2.5008094589963785,3.209783580597252,1.9130643449993716,1.3795075760539608,1.4863445842051326,0.0685763131873994,1.7500573942505,2.4159484754391434,3.1710706932305164,-0.5677257955530873,-0.43156727055048616,0.16991544427910082,-1.0593615037524493,0.03356404554529708,2.3300108587665167
