Country,Country_Code,FEC_Impl_Gap_Pct,GHG_Impl_Gap_Pct,RES_Impl_Gap_Pct,FEC_Households,FEC_Industry,FEC_Services,FEC_Transport,GHG_Agriculture,GHG_Buildings,GHG_Fuel_Exploitation,GHG_Industrial_Combustion,GHG_Power_Industry,GHG_Processes,GHG_Transport,GHG_Waste,RES_Electricity,RES_HeatingCooling,RES_Transport,Composite_Gap,GDP_per_capita,Population_mean
Austria,AT,16.220566666666667,54.547958333333334,-21.753,6919.426416666666,7366.651333333332,2483.8214999999996,8170.343583333332,7.452288776968527,9.122972888400243,7.320383064354921,10.543589541577548,12.461880282710153,7.825442061508458,22.971859961224897,1.95026469563575,75.72283333333333,34.830416666666665,10.933666666666667,-0.02488333333333333,58818.24166666667,8816924.333333334
Belgium,BE,10.842633333333334,47.099541666666674,-10.865083333333333,7798.352250000003,10436.9675,4383.670166666666,8686.724166666665,9.509265426852252,23.913907261937556,10.573946513325248,16.29745898747721,15.67583901680036,16.747421461602816,24.448077247494286,2.8708464063800996,21.465749999999996,8.911666666666665,8.14825,0.11074166666666667,55870.59166666667,11445766.25
Bulgaria,BG,8.716008333333333,20.609008333333332,-14.803583333333334,2207.7793333333334,2672.4499166666665,1184.8374999999999,3293.2141666666666,6.1203165235904615,1.8393343881386794,2.96020216912343,4.147089274040291,22.47168910015547,6.00466360615837,9.263068128317682,4.7903042156180184,22.440166666666666,31.99466666666667,7.4355833333333345,0.6562416666666667,13663.466666666667,6749507.25
Croatia,HR,2.6478750000000004,42.918441666666666,-14.015916666666667,2327.9277500000003,1129.9763333333333,787.4575833333333,2169.5465,2.845711868249412,3.198936602466602,1.4665196659742987,2.307102039974844,3.1484308309199016,4.594732099635202,6.46365257605033,1.870316166991552,50.23691666666667,36.91458333333333,3.032083333333333,0.71615,32605.350000000002,4018822.4166666665
Cyprus,CY,-2.2744500000000003,71.32715,-18.677666666666667,337.9365,230.88049999999998,251.35,655.9685833333334,0.5538085207744842,0.5308755432255498,0.007715879199582924,0.5900973457574957,3.1002888014039365,1.3783823795558208,1.9301335734968312,0.6853094880331736,12.3315,33.20275,4.502416666666667,-0.5487000000000001,42754.333333333336,895699.0
Czechia,CZ,13.896083333333332,27.755725,-13.665750000000001,6975.633416666667,6456.961916666666,2982.1512500000003,6559.360166666666,8.361711542110955,12.53558848149543,8.697478736595345,11.612418452284338,50.13365960625714,10.340149538477023,18.53733651654393,5.142735307327801,14.576666666666668,22.52825,6.770583333333334,0.37243333333333334,43637.85,10615920.833333334
Denmark,DK,2.150725,31.036675000000002,-22.002750000000002,4336.359666666667,2232.1800000000003,1926.0335833333331,4226.983,10.668759286503485,4.634988241879283,2.4796309299492862,3.6216751254462856,9.10336267668561,2.157383510301947,11.747411428793173,1.1249519220841384,63.175749999999994,46.215666666666664,8.511083333333334,0.8012666666666667,60792.825000000004,5781275.333333333
Estonia,EE,8.070566666666666,-0.10823333333333333,-32.493500000000004,935.9181666666667,464.7976666666666,461.4305833333333,818.1258333333334,2.4580036595706365,0.8615045843092299,5.258367187038739,0.5790139509047937,8.441066974153658,0.6135789063028004,2.4026902782177184,1.305718054906374,22.99191666666667,55.668749999999996,5.028333333333333,0.6539,38439.450000000004,1329635.75
Finland,FI,13.586008333333332,43.652166666666666,-19.025666666666666,5445.4560833333335,10275.066583333333,2940.94475,4042.704833333333,6.441324457442058,4.568227403291342,3.7890532019182195,7.139050599251053,15.924578656779929,5.557962406772632,10.738853111248138,4.845406731891951,39.160666666666664,55.61475000000001,17.520083333333332,0.42005,51302.31666666667,5513233.0
France,FR,23.869,45.08598333333333,-15.309750000000001,40640.97366666667,27193.75491666667,20248.719666666668,45038.58875,74.94650118534624,77.11191188907377,22.14853903637814,41.93963351484905,37.032466796747215,37.19419396207392,124.06858290895337,23.142972037815813,22.963166666666666,22.92125,8.8825,-0.2554166666666667,48649.475,67192557.83333333
Germany,DE,20.837475,31.401325,-23.446416666666664,56367.33491666667,54693.87708333335,28837.56841666666,53412.469249999995,60.98328062811712,132.69419360816622,41.81171180050791,92.55088802853754,268.00117273068633,60.058583017500716,152.10656844040344,12.114490527194507,39.3055,14.780416666666666,8.598833333333335,-0.12354166666666666,58390.049999999996,82437743.16666667
